NAIVE BAYES;-----;-----;LOGISTIC REGRESSION;-----;-----
accuracy;precision;recall;accuracy;precision;recall
0.785;0.7191890440386681;0.7653061224489796;0.755;0.6792538850402546;0.8061224489795918
0.785;0.7191890440386681;0.7653061224489796;0.755;0.6783434454863025;0.8163265306122449
0.785;0.717616242373238;0.7755102040816326;0.735;0.660045871559633;0.7857142857142857
0.78;0.7128954081632652;0.7653061224489796;0.73;0.6564901809780516;0.7653061224489796
0.79;0.7193497398959584;0.8061224489795918;0.74;0.6651851851851851;0.7857142857142857
0.795;0.7226093294460642;0.826530612244898;0.75;0.6739424860853431;0.8061224489795918
0.775;0.7003375929811176;0.8163265306122449;0.745;0.6713216715257531;0.7755102040816326
0.745;0.6722617396473152;0.7653061224489796;0.74;0.6651851851851851;0.7857142857142857
0.74;0.666026184058529;0.7755102040816326;0.74;0.6669034536891679;0.7653061224489796
0.745;0.6704205607476635;0.7857142857142857;0.75;0.675754716981132;0.7857142857142857
0.735;0.6608296776654586;0.7755102040816326;0.75;0.6748299319727891;0.7959183673469388
0.735;0.660045871559633;0.7857142857142857;0.75;0.6739424860853431;0.8061224489795918
0.72;0.6464625850340135;0.7653061224489796;0.73;0.65572940287226;0.7755102040816326
0.725;0.6507227111027898;0.7755102040816326;0.735;0.6625004953437685;0.7551020408163265
0.745;0.6695562628721213;0.7959183673469388;0.74;0.6669034536891679;0.7653061224489796
0.755;0.6802021743276749;0.7959183673469388;0.735;0.6608296776654586;0.7755102040816326
0.75;0.6748299319727891;0.7959183673469388;0.73;0.65572940287226;0.7755102040816326
0.75;0.6748299319727891;0.7959183673469388;0.73;0.6549999999999999;0.7857142857142857
0.745;0.6687267880125022;0.8061224489795918;0.735;0.660045871559633;0.7857142857142857
0.745;0.6687267880125022;0.8061224489795918;0.735;0.6585723315875022;0.8061224489795918
0.745;0.6695562628721213;0.7959183673469388;0.73;0.6529838142153414;0.8163265306122449
0.76;0.6846636432350718;0.8061224489795918;0.745;0.6671650399290151;0.826530612244898
0.755;0.6792538850402546;0.8061224489795918;0.735;0.6592939878654165;0.7959183673469388
0.76;0.6846636432350718;0.8061224489795918;0.725;0.650045045045045;0.7857142857142857
0.755;0.6802021743276749;0.7959183673469388;0.73;0.6549999999999999;0.7857142857142857
0.76;0.6836920222634508;0.8163265306122449;0.725;0.650045045045045;0.7857142857142857
0.785;0.7082965618679905;0.8469387755102041;0.755;0.6802021743276749;0.7959183673469388
0.765;0.6891387380640329;0.8163265306122449;0.73;0.6549999999999999;0.7857142857142857
0.77;0.6957893723527147;0.8061224489795918;0.725;0.6514295250810604;0.7653061224489796
0.77;0.6957893723527147;0.8061224489795918;0.71;0.6379957643434733;0.7448979591836735
0.78;0.7073430141287284;0.8061224489795918;0.725;0.6514295250810604;0.7653061224489796
0.79;0.7179434850863422;0.8163265306122449;0.725;0.6521671525753159;0.7551020408163265
0.785;0.7119630709426628;0.8163265306122449;0.725;0.6521671525753159;0.7551020408163265
0.77;0.696938775510204;0.7959183673469388;0.725;0.6537421701353809;0.7346938775510204
0.77;0.696938775510204;0.7959183673469388;0.73;0.6589795918367347;0.7346938775510204
0.765;0.6912536443148688;0.7959183673469388;0.735;0.6616472303206997;0.7653061224489796
0.755;0.6811904761904761;0.7857142857142857;0.73;0.6581132452981193;0.7448979591836735
0.755;0.6822211214582921;0.7755102040816326;0.705;0.6350495049504951;0.7142857142857143
0.755;0.6832966255809254;0.7653061224489796;0.715;0.6435724192589658;0.7346938775510204
0.755;0.6832966255809254;0.7653061224489796;0.695;0.6254368932038835;0.7142857142857143
0.76;0.6889795918367346;0.7653061224489796;0.705;0.6344055874777096;0.7244897959183674
0.75;0.6777250900360144;0.7653061224489796;0.71;0.6379957643434733;0.7448979591836735
0.75;0.6787755102040816;0.7551020408163265;0.705;0.6337900874635569;0.7346938775510204
0.745;0.6732430794099817;0.7551020408163265;0.68;0.6125850340136054;0.6938775510204082
0.74;0.6678191276510603;0.7551020408163265;0.685;0.6166663364374876;0.7040816326530612
0.745;0.6732430794099817;0.7551020408163265;0.69;0.6207692307692309;0.7142857142857143
0.735;0.6625004953437685;0.7551020408163265;0.68;0.6121310832025117;0.7040816326530612
0.74;0.6678191276510603;0.7551020408163265;0.68;0.6121310832025117;0.7040816326530612
0.74;0.6678191276510603;0.7551020408163265;0.685;0.6171650838553243;0.6938775510204082
0.74;0.6678191276510603;0.7551020408163265;0.68;0.6125850340136054;0.6938775510204082
