NAIVE BAYES;-----;LOGISTIC REGRESSION;-----
accuracy;precision;accuracy;precision
0.795;0.7270871985157699;0.76;0.6846636432350718
0.795;0.7270871985157699;0.76;0.6846636432350718
0.815;0.7515327161792552;0.745;0.6722617396473152
0.79;0.7223469387755102;0.76;0.6878311324529812
0.785;0.714669630228329;0.75;0.6767189952904238
0.77;0.6981372549019608;0.755;0.6802021743276749
0.76;0.6867307692307693;0.75;0.675754716981132
0.75;0.675754716981132;0.745;0.6713216715257531
0.75;0.6767189952904238;0.73;0.6581132452981193
0.76;0.6878311324529812;0.745;0.6722617396473152
0.76;0.6878311324529812;0.73;0.6589795918367347
0.74;0.6678191276510603;0.745;0.6713216715257531
0.75;0.6777250900360144;0.74;0.6687755102040817
0.745;0.6722617396473152;0.73;0.6572841444270016
0.765;0.690174518405493;0.75;0.6767189952904238
0.76;0.6856757797458606;0.735;0.6616472303206997
0.76;0.6856757797458606;0.745;0.6704205607476635
0.745;0.6713216715257531;0.72;0.6464625850340135
0.73;0.65572940287226;0.73;0.65572940287226
0.735;0.660045871559633;0.75;0.6748299319727891
0.735;0.660045871559633;0.72;0.6471467077396996
0.735;0.6608296776654586;0.73;0.6549999999999999
0.72;0.6471467077396996;0.695;0.6243734503147053
0.725;0.6529373885476522;0.72;0.6478610675039247
0.74;0.666026184058529;0.725;0.6537421701353809
0.74;0.666026184058529;0.7;0.6296036106750392
0.755;0.6792538850402546;0.72;0.6464625850340135
0.74;0.6669034536891679;0.705;0.6337900874635569
0.74;0.6669034536891679;0.73;0.6564901809780516
0.735;0.6625004953437685;0.73;0.6572841444270016
0.73;0.6581132452981193;0.735;0.663391594261467
0.73;0.6589795918367347;0.735;0.6625004953437685
0.74;0.6697750937109538;0.735;0.6625004953437685
0.75;0.6798729695960017;0.73;0.6572841444270016
0.745;0.674268192125335;0.73;0.6572841444270016
0.745;0.674268192125335;0.74;0.666026184058529
0.75;0.6787755102040816;0.745;0.6722617396473152
0.745;0.6732430794099817;0.725;0.6521671525753159
0.745;0.6732430794099817;0.73;0.65572940287226
0.745;0.6732430794099817;0.735;0.6616472303206997
0.745;0.6732430794099817;0.735;0.663391594261467
0.74;0.6678191276510603;0.725;0.6521671525753159
0.735;0.6616472303206997;0.715;0.6428814382896015
0.725;0.6521671525753159;0.705;0.6350495049504951
0.73;0.6572841444270016;0.695;0.6260062638916953
0.73;0.6572841444270016;0.69;0.6207692307692309
0.73;0.6572841444270016;0.68;0.6116981132075472
0.735;0.6625004953437685;0.685;0.6166663364374876
0.73;0.6581132452981193;0.7;0.6296036106750392
